group,N,ln_order,max_cycle_ratio,cycle_count
Fisher-Yates,1024,21.660715210431274,0.4658203125,6
Fisher-Yates,1024,22.35123198145053,0.3349609375,8
Fisher-Yates,1024,18.075272096287527,0.6455078125,8
Fisher-Yates,1024,15.200516088899237,0.8525390625,9
Fisher-Yates,1024,21.35077972132121,0.8154296875,8
Fisher-Yates,1024,14.806729154359955,0.53515625,9
Fisher-Yates,1024,14.73746681042493,0.8857421875,5
Fisher-Yates,1024,15.536089765109942,0.86328125,5
Fisher-Yates,1024,18.031570414370364,0.6591796875,5
Fisher-Yates,1024,14.839614794457322,0.6474609375,6
Fisher-Yates,1024,23.090682772180187,0.59765625,14
Fisher-Yates,1024,21.02785785692747,0.6083984375,12
Fisher-Yates,1024,14.995960864848016,0.59765625,12
Fisher-Yates,1024,23.178825472389228,0.7177734375,10
Fisher-Yates,1024,23.07406867030664,0.7919921875,11
Fisher-Yates,1024,16.795262828674673,0.8193359375,5
Fisher-Yates,1024,17.508773639926815,0.7158203125,8
Fisher-Yates,1024,25.59792293944547,0.3984375,8
Fisher-Yates,1024,19.296146731302485,0.6630859375,6
Fisher-Yates,1024,24.432487306684013,0.5947265625,9
Fisher-Yates,1024,18.460647351933844,0.7685546875,8
Fisher-Yates,1024,24.257874639036714,0.408203125,7
Fisher-Yates,1024,19.32355645546238,0.5419921875,6
Fisher-Yates,1024,14.883189299862458,0.44140625,10
Fisher-Yates,1024,17.01498335568552,0.3828125,8
Fisher-Yates,1024,21.079825920688965,0.5634765625,8
Fisher-Yates,1024,21.69548612846171,0.7216796875,9
Fisher-Yates,1024,17.50977672764003,0.7333984375,10
Fisher-Yates,1024,20.806025450486423,0.6318359375,8
Fisher-Yates,1024,20.831877202461342,0.3974609375,8
Fisher-Yates,1024,31.867304084668472,0.3740234375,10
Fisher-Yates,1024,18.547098393801086,0.29296875,10
Fisher-Yates,1024,19.1605741727365,0.603515625,5
Fisher-Yates,1024,11.984627650851545,0.828125,7
Fisher-Yates,1024,25.621025270324733,0.3251953125,10
Fisher-Yates,1024,13.588434283622352,0.91015625,8
Fisher-Yates,1024,23.33353599858382,0.3330078125,7
Fisher-Yates,1024,15.740357571330684,0.7197265625,6
Fisher-Yates,1024,18.027646748398436,0.7666015625,9
Fisher-Yates,1024,23.04460341485362,0.3369140625,9
Fisher-Yates,1024,23.49193327386131,0.6533203125,7
Fisher-Yates,1024,14.586729273944375,0.62109375,7
Fisher-Yates,1024,18.333993787060116,0.4228515625,8
Fisher-Yates,1024,12.05041833581788,0.7998046875,4
Fisher-Yates,1024,19.153866908559863,0.6357421875,8
Fisher-Yates,1024,13.41488372649636,0.8056640625,5
Fisher-Yates,1024,25.16870266929185,0.4111328125,7
Fisher-Yates,1024,16.34674004485785,0.8798828125,7
Fisher-Yates,1024,20.856149350992926,0.3173828125,6
Fisher-Yates,1024,19.64854092162861,0.564453125,8
Fisher-Yates,1024,11.405162064696091,0.755859375,4
Fisher-Yates,1024,22.879092333717782,0.5341796875,6
Fisher-Yates,1024,24.651915774838443,0.462890625,8
Fisher-Yates,1024,20.77747773406642,0.392578125,10
Fisher-Yates,1024,18.853582403920974,0.39453125,6
Fisher-Yates,1024,12.552594218004389,0.939453125,4
